DEB [20251118-15:05:30.413] thr=1   paramiko.transport: starting thread (server mode): 0x34542ba0
DEB [20251118-15:05:30.426] thr=1   paramiko.transport: client compress: none, zlib@openssh.com, zlib
DEB [20251118-15:05:30.426] thr=1   paramiko.transport: server compress: none, zlib@openssh.com, zlib
DEB [20251118-15:05:30.426] thr=1   paramiko.transport: client lang: <none>
DEB [20251118-15:05:30.426] thr=1   paramiko.transport: server lang: <none>
DEB [20251118-15:05:30.426] thr=1   paramiko.transport: kex follows: False
DEB [20251118-15:05:30.426] thr=1   paramiko.transport: === Key exchange agreements ===
DEB [20251118-15:05:30.427] thr=1   paramiko.transport: Strict kex mode: True
DEB [20251118-15:05:30.427] thr=1   paramiko.transport: Kex: curve25519-sha256@libssh.org
DEB [20251118-15:05:30.427] thr=1   paramiko.transport: HostKey: rsa-sha2-512
DEB [20251118-15:05:30.427] thr=1   paramiko.transport: Cipher: aes128-ctr
DEB [20251118-15:05:30.427] thr=1   paramiko.transport: MAC: hmac-sha2-256-etm@openssh.com
DEB [20251118-15:05:30.427] thr=1   paramiko.transport: Compression: none
DEB [20251118-15:05:30.427] thr=1   paramiko.transport: === End of kex handshake ===
DEB [20251118-15:05:30.432] thr=1   paramiko.transport: Resetting outbound seqno after NEWKEYS due to strict mode
DEB [20251118-15:05:30.432] thr=1   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
ERR [20251118-15:05:30.441] thr=1   paramiko.transport: Socket exception: An existing connection was forcibly closed by the remote host (10054)
DEB [20251118-15:06:42.114] thr=2   paramiko.transport: starting thread (server mode): 0x34513110
DEB [20251118-15:06:42.114] thr=2   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_4.0.0
DEB [20251118-15:06:42.116] thr=2   paramiko.transport: Remote version/idstring: SSH-2.0-OpenSSH_for_Windows_9.5
INF [20251118-15:06:42.116] thr=2   paramiko.transport: Connected (version 2.0, client OpenSSH_for_Windows_9.5)
DEB [20251118-15:06:42.117] thr=2   paramiko.transport: === Key exchange possibilities ===
DEB [20251118-15:06:42.117] thr=2   paramiko.transport: kex algos: curve25519-sha256, curve25519-sha256@libssh.org, ecdh-sha2-nistp256, ecdh-sha2-nistp384, ecdh-sha2-nistp521, diffie-hellman-group-exchange-sha256, diffie-hellman-group16-sha512, diffie-hellman-group18-sha512, diffie-hellman-group14-sha256, ext-info-c, kex-strict-c-v00@openssh.com
DEB [20251118-15:06:42.117] thr=2   paramiko.transport: server key: ssh-ed25519-cert-v01@openssh.com, ecdsa-sha2-nistp256-cert-v01@openssh.com, ecdsa-sha2-nistp384-cert-v01@openssh.com, ecdsa-sha2-nistp521-cert-v01@openssh.com, sk-ssh-ed25519-cert-v01@openssh.com, sk-ecdsa-sha2-nistp256-cert-v01@openssh.com, rsa-sha2-512-cert-v01@openssh.com, rsa-sha2-256-cert-v01@openssh.com, ssh-ed25519, ecdsa-sha2-nistp256, ecdsa-sha2-nistp384, ecdsa-sha2-nistp521, sk-ssh-ed25519@openssh.com, sk-ecdsa-sha2-nistp256@openssh.com, rsa-sha2-512, rsa-sha2-256, ssh-rsa
DEB [20251118-15:06:42.118] thr=2   paramiko.transport: client encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20251118-15:06:42.118] thr=2   paramiko.transport: server encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20251118-15:06:42.118] thr=2   paramiko.transport: client mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512
DEB [20251118-15:06:42.118] thr=2   paramiko.transport: server mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512
DEB [20251118-15:06:42.118] thr=2   paramiko.transport: client compress: none, zlib@openssh.com, zlib
DEB [20251118-15:06:42.118] thr=2   paramiko.transport: server compress: none, zlib@openssh.com, zlib
DEB [20251118-15:06:42.118] thr=2   paramiko.transport: client lang: <none>
DEB [20251118-15:06:42.118] thr=2   paramiko.transport: server lang: <none>
DEB [20251118-15:06:42.118] thr=2   paramiko.transport: kex follows: False
DEB [20251118-15:06:42.118] thr=2   paramiko.transport: === Key exchange agreements ===
DEB [20251118-15:06:42.118] thr=2   paramiko.transport: Strict kex mode: True
DEB [20251118-15:06:42.118] thr=2   paramiko.transport: Kex: curve25519-sha256@libssh.org
DEB [20251118-15:06:42.118] thr=2   paramiko.transport: HostKey: rsa-sha2-512
DEB [20251118-15:06:42.118] thr=2   paramiko.transport: Cipher: aes128-ctr
DEB [20251118-15:06:42.118] thr=2   paramiko.transport: MAC: hmac-sha2-256-etm@openssh.com
DEB [20251118-15:06:42.118] thr=2   paramiko.transport: Compression: none
DEB [20251118-15:06:42.118] thr=2   paramiko.transport: === End of kex handshake ===
DEB [20251118-15:06:42.121] thr=2   paramiko.transport: Resetting outbound seqno after NEWKEYS due to strict mode
DEB [20251118-15:06:42.121] thr=2   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
DEB [20251118-15:06:50.323] thr=2   paramiko.transport: Switch to new keys ...
DEB [20251118-15:06:50.323] thr=2   paramiko.transport: Resetting inbound seqno after NEWKEYS due to strict mode
DEB [20251118-15:06:50.324] thr=2   paramiko.transport: Auth request (type=none) service=ssh-connection, username=root
INF [20251118-15:06:50.324] thr=2   paramiko.transport: Auth rejected (none).
DEB [20251118-15:06:52.672] thr=2   paramiko.transport: Auth request (type=password) service=ssh-connection, username=root
INF [20251118-15:06:52.673] thr=2   paramiko.transport: Auth granted (password).
DEB [20251118-15:06:52.676] thr=2   paramiko.transport: [chan 0] Max packet in: 32768 bytes
DEB [20251118-15:06:52.676] thr=2   paramiko.transport: [chan 0] Max packet out: 16384 bytes
DEB [20251118-15:06:52.676] thr=2   paramiko.transport: Secsh channel 0 (session) opened.
INF [20251118-15:08:22.615] thr=2   paramiko.transport: Disconnect (code 11): disconnected by user
DEB [20251118-15:09:54.981] thr=1   paramiko.transport: starting thread (server mode): 0xc9d72ba0
DEB [20251118-15:09:54.981] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_4.0.0
DEB [20251118-15:09:54.982] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-OpenSSH_for_Windows_9.5
INF [20251118-15:09:54.982] thr=1   paramiko.transport: Connected (version 2.0, client OpenSSH_for_Windows_9.5)
DEB [20251118-15:09:54.983] thr=1   paramiko.transport: === Key exchange possibilities ===
DEB [20251118-15:09:54.983] thr=1   paramiko.transport: kex algos: curve25519-sha256, curve25519-sha256@libssh.org, ecdh-sha2-nistp256, ecdh-sha2-nistp384, ecdh-sha2-nistp521, diffie-hellman-group-exchange-sha256, diffie-hellman-group16-sha512, diffie-hellman-group18-sha512, diffie-hellman-group14-sha256, ext-info-c, kex-strict-c-v00@openssh.com
DEB [20251118-15:09:54.983] thr=1   paramiko.transport: server key: ssh-ed25519-cert-v01@openssh.com, ecdsa-sha2-nistp256-cert-v01@openssh.com, ecdsa-sha2-nistp384-cert-v01@openssh.com, ecdsa-sha2-nistp521-cert-v01@openssh.com, sk-ssh-ed25519-cert-v01@openssh.com, sk-ecdsa-sha2-nistp256-cert-v01@openssh.com, rsa-sha2-512-cert-v01@openssh.com, rsa-sha2-256-cert-v01@openssh.com, ssh-ed25519, ecdsa-sha2-nistp256, ecdsa-sha2-nistp384, ecdsa-sha2-nistp521, sk-ssh-ed25519@openssh.com, sk-ecdsa-sha2-nistp256@openssh.com, rsa-sha2-512, rsa-sha2-256, ssh-rsa
DEB [20251118-15:09:54.983] thr=1   paramiko.transport: client encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20251118-15:09:54.983] thr=1   paramiko.transport: server encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20251118-15:09:54.984] thr=1   paramiko.transport: client mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512
DEB [20251118-15:09:54.984] thr=1   paramiko.transport: server mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512
DEB [20251118-15:09:54.984] thr=1   paramiko.transport: client compress: none, zlib@openssh.com, zlib
DEB [20251118-15:09:54.984] thr=1   paramiko.transport: server compress: none, zlib@openssh.com, zlib
DEB [20251118-15:09:54.984] thr=1   paramiko.transport: client lang: <none>
DEB [20251118-15:09:54.984] thr=1   paramiko.transport: server lang: <none>
DEB [20251118-15:09:54.984] thr=1   paramiko.transport: kex follows: False
DEB [20251118-15:09:54.984] thr=1   paramiko.transport: === Key exchange agreements ===
DEB [20251118-15:09:54.984] thr=1   paramiko.transport: Strict kex mode: True
DEB [20251118-15:09:54.984] thr=1   paramiko.transport: Kex: curve25519-sha256@libssh.org
DEB [20251118-15:09:54.984] thr=1   paramiko.transport: HostKey: rsa-sha2-512
DEB [20251118-15:09:54.984] thr=1   paramiko.transport: Cipher: aes128-ctr
DEB [20251118-15:09:54.984] thr=1   paramiko.transport: MAC: hmac-sha2-256-etm@openssh.com
DEB [20251118-15:09:54.984] thr=1   paramiko.transport: Compression: none
DEB [20251118-15:09:54.984] thr=1   paramiko.transport: === End of kex handshake ===
DEB [20251118-15:09:54.987] thr=1   paramiko.transport: Resetting outbound seqno after NEWKEYS due to strict mode
DEB [20251118-15:09:54.987] thr=1   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
DEB [20251118-15:09:58.548] thr=1   paramiko.transport: Switch to new keys ...
DEB [20251118-15:09:58.548] thr=1   paramiko.transport: Resetting inbound seqno after NEWKEYS due to strict mode
DEB [20251118-15:09:58.549] thr=1   paramiko.transport: Auth request (type=none) service=ssh-connection, username=root
INF [20251118-15:09:58.549] thr=1   paramiko.transport: Auth rejected (none).
DEB [20251118-15:09:59.026] thr=1   paramiko.transport: Auth request (type=password) service=ssh-connection, username=root
INF [20251118-15:09:59.026] thr=1   paramiko.transport: Auth granted (password).
DEB [20251118-15:09:59.029] thr=1   paramiko.transport: [chan 0] Max packet in: 32768 bytes
DEB [20251118-15:09:59.029] thr=1   paramiko.transport: [chan 0] Max packet out: 16384 bytes
DEB [20251118-15:09:59.029] thr=1   paramiko.transport: Secsh channel 0 (session) opened.
DEB [20251118-15:12:07.953] thr=1   paramiko.transport: starting thread (server mode): 0xdd392ba0
DEB [20251118-15:12:07.953] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_4.0.0
DEB [20251118-15:12:07.956] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-OpenSSH_for_Windows_9.5
INF [20251118-15:12:07.956] thr=1   paramiko.transport: Connected (version 2.0, client OpenSSH_for_Windows_9.5)
DEB [20251118-15:12:07.957] thr=1   paramiko.transport: === Key exchange possibilities ===
DEB [20251118-15:12:07.958] thr=1   paramiko.transport: kex algos: curve25519-sha256, curve25519-sha256@libssh.org, ecdh-sha2-nistp256, ecdh-sha2-nistp384, ecdh-sha2-nistp521, diffie-hellman-group-exchange-sha256, diffie-hellman-group16-sha512, diffie-hellman-group18-sha512, diffie-hellman-group14-sha256, ext-info-c, kex-strict-c-v00@openssh.com
DEB [20251118-15:12:07.958] thr=1   paramiko.transport: server key: ssh-ed25519-cert-v01@openssh.com, ecdsa-sha2-nistp256-cert-v01@openssh.com, ecdsa-sha2-nistp384-cert-v01@openssh.com, ecdsa-sha2-nistp521-cert-v01@openssh.com, sk-ssh-ed25519-cert-v01@openssh.com, sk-ecdsa-sha2-nistp256-cert-v01@openssh.com, rsa-sha2-512-cert-v01@openssh.com, rsa-sha2-256-cert-v01@openssh.com, ssh-ed25519, ecdsa-sha2-nistp256, ecdsa-sha2-nistp384, ecdsa-sha2-nistp521, sk-ssh-ed25519@openssh.com, sk-ecdsa-sha2-nistp256@openssh.com, rsa-sha2-512, rsa-sha2-256, ssh-rsa
DEB [20251118-15:12:07.958] thr=1   paramiko.transport: client encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20251118-15:12:07.958] thr=1   paramiko.transport: server encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20251118-15:12:07.958] thr=1   paramiko.transport: client mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512
DEB [20251118-15:12:07.958] thr=1   paramiko.transport: server mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512
DEB [20251118-15:12:07.958] thr=1   paramiko.transport: client compress: none, zlib@openssh.com, zlib
DEB [20251118-15:12:07.958] thr=1   paramiko.transport: server compress: none, zlib@openssh.com, zlib
DEB [20251118-15:12:07.958] thr=1   paramiko.transport: client lang: <none>
DEB [20251118-15:12:07.959] thr=1   paramiko.transport: server lang: <none>
DEB [20251118-15:12:07.959] thr=1   paramiko.transport: kex follows: False
DEB [20251118-15:12:07.959] thr=1   paramiko.transport: === Key exchange agreements ===
DEB [20251118-15:12:07.959] thr=1   paramiko.transport: Strict kex mode: True
DEB [20251118-15:12:07.959] thr=1   paramiko.transport: Kex: curve25519-sha256@libssh.org
DEB [20251118-15:12:07.959] thr=1   paramiko.transport: HostKey: rsa-sha2-512
DEB [20251118-15:12:07.959] thr=1   paramiko.transport: Cipher: aes128-ctr
DEB [20251118-15:12:07.959] thr=1   paramiko.transport: MAC: hmac-sha2-256-etm@openssh.com
DEB [20251118-15:12:07.960] thr=1   paramiko.transport: Compression: none
DEB [20251118-15:12:07.960] thr=1   paramiko.transport: === End of kex handshake ===
DEB [20251118-15:12:07.965] thr=1   paramiko.transport: Resetting outbound seqno after NEWKEYS due to strict mode
DEB [20251118-15:12:07.965] thr=1   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
ERR [20251118-15:12:14.720] thr=1   paramiko.transport: Socket exception: An existing connection was forcibly closed by the remote host (10054)
DEB [20251118-15:12:20.707] thr=2   paramiko.transport: starting thread (server mode): 0xdd363110
DEB [20251118-15:12:20.707] thr=2   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_4.0.0
DEB [20251118-15:12:20.715] thr=2   paramiko.transport: Remote version/idstring: SSH-2.0-OpenSSH_for_Windows_9.5
INF [20251118-15:12:20.716] thr=2   paramiko.transport: Connected (version 2.0, client OpenSSH_for_Windows_9.5)
DEB [20251118-15:12:20.718] thr=2   paramiko.transport: === Key exchange possibilities ===
DEB [20251118-15:12:20.718] thr=2   paramiko.transport: kex algos: curve25519-sha256, curve25519-sha256@libssh.org, ecdh-sha2-nistp256, ecdh-sha2-nistp384, ecdh-sha2-nistp521, diffie-hellman-group-exchange-sha256, diffie-hellman-group16-sha512, diffie-hellman-group18-sha512, diffie-hellman-group14-sha256, ext-info-c, kex-strict-c-v00@openssh.com
DEB [20251118-15:12:20.719] thr=2   paramiko.transport: server key: ssh-ed25519-cert-v01@openssh.com, ecdsa-sha2-nistp256-cert-v01@openssh.com, ecdsa-sha2-nistp384-cert-v01@openssh.com, ecdsa-sha2-nistp521-cert-v01@openssh.com, sk-ssh-ed25519-cert-v01@openssh.com, sk-ecdsa-sha2-nistp256-cert-v01@openssh.com, rsa-sha2-512-cert-v01@openssh.com, rsa-sha2-256-cert-v01@openssh.com, ssh-ed25519, ecdsa-sha2-nistp256, ecdsa-sha2-nistp384, ecdsa-sha2-nistp521, sk-ssh-ed25519@openssh.com, sk-ecdsa-sha2-nistp256@openssh.com, rsa-sha2-512, rsa-sha2-256, ssh-rsa
DEB [20251118-15:12:20.719] thr=2   paramiko.transport: client encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20251118-15:12:20.719] thr=2   paramiko.transport: server encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20251118-15:12:20.719] thr=2   paramiko.transport: client mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512
DEB [20251118-15:12:20.720] thr=2   paramiko.transport: server mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512
DEB [20251118-15:12:20.720] thr=2   paramiko.transport: client compress: none, zlib@openssh.com, zlib
DEB [20251118-15:12:20.720] thr=2   paramiko.transport: server compress: none, zlib@openssh.com, zlib
DEB [20251118-15:12:20.720] thr=2   paramiko.transport: client lang: <none>
DEB [20251118-15:12:20.720] thr=2   paramiko.transport: server lang: <none>
DEB [20251118-15:12:20.720] thr=2   paramiko.transport: kex follows: False
DEB [20251118-15:12:20.720] thr=2   paramiko.transport: === Key exchange agreements ===
DEB [20251118-15:12:20.721] thr=2   paramiko.transport: Strict kex mode: True
DEB [20251118-15:12:20.721] thr=2   paramiko.transport: Kex: curve25519-sha256@libssh.org
DEB [20251118-15:12:20.721] thr=2   paramiko.transport: HostKey: rsa-sha2-512
DEB [20251118-15:12:20.721] thr=2   paramiko.transport: Cipher: aes128-ctr
DEB [20251118-15:12:20.721] thr=2   paramiko.transport: MAC: hmac-sha2-256-etm@openssh.com
DEB [20251118-15:12:20.721] thr=2   paramiko.transport: Compression: none
DEB [20251118-15:12:20.722] thr=2   paramiko.transport: === End of kex handshake ===
DEB [20251118-15:12:20.726] thr=2   paramiko.transport: Resetting outbound seqno after NEWKEYS due to strict mode
DEB [20251118-15:12:20.726] thr=2   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
DEB [20251118-15:12:23.725] thr=2   paramiko.transport: Switch to new keys ...
DEB [20251118-15:12:23.726] thr=2   paramiko.transport: Resetting inbound seqno after NEWKEYS due to strict mode
DEB [20251118-15:12:23.726] thr=2   paramiko.transport: Auth request (type=none) service=ssh-connection, username=root
INF [20251118-15:12:23.726] thr=2   paramiko.transport: Auth rejected (none).
DEB [20251118-15:12:24.953] thr=2   paramiko.transport: Auth request (type=password) service=ssh-connection, username=root
INF [20251118-15:12:24.953] thr=2   paramiko.transport: Auth granted (password).
DEB [20251118-15:12:24.955] thr=2   paramiko.transport: [chan 0] Max packet in: 32768 bytes
DEB [20251118-15:12:24.955] thr=2   paramiko.transport: [chan 0] Max packet out: 16384 bytes
DEB [20251118-15:12:24.956] thr=2   paramiko.transport: Secsh channel 0 (session) opened.
DEB [20251130-22:19:00.166] thr=1   paramiko.transport: starting thread (server mode): 0x88a6a800
DEB [20251130-22:19:00.166] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_4.0.0
DEB [20251130-22:19:00.169] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-OpenSSH_for_Windows_8.1
INF [20251130-22:19:00.170] thr=1   paramiko.transport: Connected (version 2.0, client OpenSSH_for_Windows_8.1)
DEB [20251130-22:19:00.180] thr=1   paramiko.transport: === Key exchange possibilities ===
DEB [20251130-22:19:00.180] thr=1   paramiko.transport: kex algos: curve25519-sha256, curve25519-sha256@libssh.org, ecdh-sha2-nistp256, ecdh-sha2-nistp384, ecdh-sha2-nistp521, diffie-hellman-group-exchange-sha256, diffie-hellman-group16-sha512, diffie-hellman-group18-sha512, diffie-hellman-group14-sha256, diffie-hellman-group14-sha1, ext-info-c
DEB [20251130-22:19:00.180] thr=1   paramiko.transport: server key: rsa-sha2-512-cert-v01@openssh.com, rsa-sha2-256-cert-v01@openssh.com, ssh-rsa-cert-v01@openssh.com, rsa-sha2-512, rsa-sha2-256, ssh-rsa, ecdsa-sha2-nistp256-cert-v01@openssh.com, ecdsa-sha2-nistp384-cert-v01@openssh.com, ecdsa-sha2-nistp521-cert-v01@openssh.com, ssh-ed25519-cert-v01@openssh.com, ecdsa-sha2-nistp256, ecdsa-sha2-nistp384, ecdsa-sha2-nistp521, ssh-ed25519
DEB [20251130-22:19:00.180] thr=1   paramiko.transport: client encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20251130-22:19:00.180] thr=1   paramiko.transport: server encrypt: chacha20-poly1305@openssh.com, aes128-ctr, aes192-ctr, aes256-ctr, aes128-gcm@openssh.com, aes256-gcm@openssh.com
DEB [20251130-22:19:00.180] thr=1   paramiko.transport: client mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, hmac-sha1-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512, hmac-sha1
DEB [20251130-22:19:00.180] thr=1   paramiko.transport: server mac: umac-64-etm@openssh.com, umac-128-etm@openssh.com, hmac-sha2-256-etm@openssh.com, hmac-sha2-512-etm@openssh.com, hmac-sha1-etm@openssh.com, umac-64@openssh.com, umac-128@openssh.com, hmac-sha2-256, hmac-sha2-512, hmac-sha1
DEB [20251130-22:19:00.180] thr=1   paramiko.transport: client compress: none, zlib@openssh.com, zlib
DEB [20251130-22:19:00.180] thr=1   paramiko.transport: server compress: none, zlib@openssh.com, zlib
DEB [20251130-22:19:00.180] thr=1   paramiko.transport: client lang: <none>
DEB [20251130-22:19:00.180] thr=1   paramiko.transport: server lang: <none>
DEB [20251130-22:19:00.180] thr=1   paramiko.transport: kex follows: False
DEB [20251130-22:19:00.180] thr=1   paramiko.transport: === Key exchange agreements ===
DEB [20251130-22:19:00.181] thr=1   paramiko.transport: Kex: curve25519-sha256@libssh.org
DEB [20251130-22:19:00.181] thr=1   paramiko.transport: HostKey: rsa-sha2-512
DEB [20251130-22:19:00.181] thr=1   paramiko.transport: Cipher: aes128-ctr
DEB [20251130-22:19:00.181] thr=1   paramiko.transport: MAC: hmac-sha2-256-etm@openssh.com
DEB [20251130-22:19:00.181] thr=1   paramiko.transport: Compression: none
DEB [20251130-22:19:00.181] thr=1   paramiko.transport: === End of kex handshake ===
DEB [20251130-22:19:00.185] thr=1   paramiko.transport: kex engine KexCurve25519 specified hash_algo <built-in function openssl_sha256>
DEB [20251130-22:19:00.188] thr=1   paramiko.transport: Switch to new keys ...
DEB [20251130-22:19:00.189] thr=1   paramiko.transport: Auth request (type=none) service=ssh-connection, username=root
INF [20251130-22:19:00.189] thr=1   paramiko.transport: Auth rejected (none).
DEB [20251130-22:19:48.585] thr=1   paramiko.transport: Auth request (type=password) service=ssh-connection, username=root
INF [20251130-22:19:48.586] thr=1   paramiko.transport: Auth granted (password).
DEB [20251130-22:19:48.587] thr=1   paramiko.transport: [chan 0] Max packet in: 32768 bytes
DEB [20251130-22:19:48.587] thr=1   paramiko.transport: [chan 0] Max packet out: 16384 bytes
DEB [20251130-22:19:48.587] thr=1   paramiko.transport: Secsh channel 0 (session) opened.
DEB [20251130-22:50:32.080] thr=1   paramiko.transport: starting thread (server mode): 0xc058a710
DEB [20251130-22:50:32.080] thr=1   paramiko.transport: Local version/idstring: SSH-2.0-paramiko_4.0.0
DEB [20251130-22:50:32.081] thr=1   paramiko.transport: Remote version/idstring: SSH-2.0-OpenSSH_for_Windows_8.1
INF [20251130-22:50:32.081] thr=1   paramiko.transport: Connected (version 2.0, client OpenSSH_for_Windows_8.1)
DEB [20251130-22:50:32.082] thr=1   paramiko.transport: === Key exchange possibilities ===
DEB [20251130-22:50:32.082] thr=1   paramiko.transport: kex algos: curve25519-sha256, curve25519-sha256@libssh.org, ecdh-sha2-nistp256, ecdh-sha2-nistp384, ecdh-sha2-nistp521, diffie-hellman-group-exchange-sha256, diffie-hellman-group16-sha512, diffie-hellman-group18-sha512, diffie-hellman-group14-sha256, diffie-hellman-group14-sha1, ext-info-c
